,EDAD,GENERO,RESIDENCIA,NV_ESTUDIO,ESTUDIO_PREV,TRACK_DH,AVG_DH,MINUTES_DH,EXPERIENCIA,DIAS_EMP
1000,37.0,FEMENINO,BRAZIL,UNIVERSITARY,,PROGRAMACION,3.1,4131.5,21.3,97.0
1001,40.0,FEMENINO,,UNIVERSITARY,COMMERCIAL,PROGRAMACION,3.1,4160.4,25.2,102.0
1002,35.0,,ARGENTINA,UNIVERSITARY,DEVELOPMENT,DATA,3.1,4087.6,18.0,89.0
1003,33.0,FEMENINO,BRAZIL,UNIVERSITARY,ENGINEERING,,3.1,4043.2,13.6,96.0
1004,29.0,,BRAZIL,UNIVERSITARY,DEVELOPMENT,,3.6,4688.0,,83.0
1005,28.0,FEMENINO,ARGENTINA,UNIVERSITARY,MARKETING,DATA,,4369.3,7.0,101.0
1006,35.0,MASCULINO,ARGENTINA,,ENGINEERING,DATA,3.0,,18.0,86.0
1007,35.0,MASCULINO,MEXICO,UNIVERSITARY,ENGINEERING,PROGRAMACION,,4733.0,18.8,87.0
1008,41.0,MASCULINO,ARGENTINA,,ENGINEERING,,,4545.3,25.5,90.0
1009,,,MEXICO,UNIVERSITARY,COMMERCIAL,DATA,2.9,3499.3,2.5,83.0
1010,,MASCULINO,ARGENTINA,,COMMERCIAL,PROGRAMACION,3.7,4617.6,11.8,86.0
1011,41.0,MASCULINO,,UNIVERSITARY,ENGINEERING,,3.4,4624.6,26.1,92.0
1012,44.0,MASCULINO,ARGENTINA,TERTIARY,ENGINEERING,EJECUTIVO,3.3,4469.9,28.9,96.0
1013,43.0,MASCULINO,MEXICO,POST_GRADUATE,COMMERCIAL,DATA,3.2,,,92.0
1014,,MASCULINO,ARGENTINA,UNIVERSITARY,ENGINEERING,DATA,,4722.0,28.6,90.0
1015,35.0,,ARGENTINA,UNIVERSITARY,COMMERCIAL,DATA,2.6,2558.9,16.7,101.0
1016,34.0,MASCULINO,BRAZIL,TERTIARY,COMMERCIAL,PROGRAMACION,3.8,4696.3,15.2,89.0
1017,20.0,MASCULINO,ARGENTINA,POST_GRADUATE,DEVELOPMENT,DATA,3.0,3914.3,0.6,84.0
1018,37.0,MASCULINO,ARGENTINA,POST_GRADUATE,ENGINEERING,PROGRAMACION,3.0,,,88.0
1019,29.0,FEMENINO,,UNIVERSITARY,DEVELOPMENT,DATA,3.5,4531.0,8.5,96.0
1020,35.0,MASCULINO,ARGENTINA,POST_GRADUATE,DEVELOPMENT,EJECUTIVO,3.6,4682.6,18.1,86.0
1021,32.0,MASCULINO,BRAZIL,UNIVERSITARY,,PROGRAMACION,3.9,4652.9,14.3,86.0
1022,36.0,,,UNIVERSITARY,ENGINEERING,PROGRAMACION,3.3,4373.3,19.8,96.0
1023,38.0,MASCULINO,ARGENTINA,UNIVERSITARY,ENGINEERING,DATA,,4612.0,22.5,88.0
1024,40.0,MASCULINO,,UNIVERSITARY,COMMERCIAL,EJECUTIVO,3.5,4557.4,24.3,92.0
1025,26.0,FEMENINO,BRAZIL,UNIVERSITARY,ENGINEERING,,,,4.8,90.0
1026,33.0,FEMENINO,,TERTIARY,COMMERCIAL,PROGRAMACION,3.8,,14.6,101.0
1027,31.0,FEMENINO,ARGENTINA,UNIVERSITARY,ENGINEERING,PROGRAMACION,3.3,4419.9,12.3,94.0
1028,43.0,FEMENINO,ARGENTINA,TERTIARY,ENGINEERING,DATA,4.0,4770.8,27.9,105.0
1029,35.0,FEMENINO,ARGENTINA,UNIVERSITARY,ENGINEERING,DATA,3.9,,18.4,98.0
1030,36.0,FEMENINO,BRAZIL,UNIVERSITARY,ENGINEERING,DATA,3.1,4042.6,19.3,99.0
1031,30.0,MASCULINO,ARGENTINA,UNIVERSITARY,DEVELOPMENT,EJECUTIVO,,4239.8,10.1,85.0
1032,,FEMENINO,ARGENTINA,POST_GRADUATE,ENGINEERING,DATA,,4710.9,1.0,92.0
1033,34.0,FEMENINO,,TERTIARY,,EJECUTIVO,3.7,4679.6,16.4,99.0
1034,37.0,MASCULINO,BRAZIL,UNIVERSITARY,DEVELOPMENT,DATA,2.9,3531.2,21.5,91.0
1035,32.0,,BRAZIL,TERTIARY,ENGINEERING,DATA,3.6,,14.1,86.0
